Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,TD,Scoring_2PM,Scoring_Pts
81,2012,12,2012-12-02,29-000,GNB,,MIN,W 23-14,*,27,35,77.14%,286,1,1,98.0,8.17,7.46,4,15,3.75,0,0,0,,0,0,,0
82,2012,13,2012-12-09,29-007,GNB,,DET,W 27-20,*,14,24,58.33%,173,0,0,80.7,7.21,7.21,3,32,10.67,1,0,0,,0,1,,6
83,2012,14,2012-12-16,29-014,GNB,@,CHI,W 21-13,*,23,36,63.89%,291,3,0,116.8,8.08,9.75,4,14,3.50,0,1,-1,-1.00,0,0,,0
84,2012,15,2012-12-23,29-021,GNB,,TEN,W 55-7,*,27,38,71.05%,342,3,0,125.1,9.00,10.58,4,11,2.75,1,0,0,,0,1,,6
85,2012,16,2012-12-30,29-028,GNB,@,MIN,L 34-37,*,28,40,70.00%,365,4,0,131.8,9.13,11.13,0,0,,0,0,0,,0,0,,0
86,2013,1,2013-09-08,29-280,GNB,@,SFO,L 28-34,,21,37,56.76%,333,3,1,102.6,9.00,9.41,2,13,6.50,0,0,0,,0,0,,0
87,2013,2,2013-09-15,29-287,GNB,,WAS,W 38-20,,34,42,80.95%,480,4,0,146.0,11.43,13.33,3,-3,-1.00,0,0,0,,0,0,,0
88,2013,3,2013-09-22,29-294,GNB,@,CIN,L 30-34,,26,43,60.47%,244,1,2,64.5,5.67,4.05,3,24,8.00,0,0,0,,0,0,,0
89,2013,4,2013-10-06,29-308,GNB,,DET,W 22-9,,20,30,66.67%,274,1,0,106.8,9.13,9.80,5,8,1.60,0,0,0,,0,0,,0
90,2013,5,2013-10-13,29-315,GNB,@,BAL,W 19-17,,17,32,53.13%,315,1,1,84.8,9.84,9.06,5,21,4.20,0,0,0,,0,0,,0
91,2013,6,2013-10-20,29-322,GNB,,CLE,W 31-13,,25,36,69.44%,260,3,0,117.8,7.22,8.89,4,12,3.00,0,0,0,,0,0,,0
92,2013,7,2013-10-27,29-329,GNB,@,MIN,W 44-31,,24,29,82.76%,285,2,0,130.6,9.83,11.21,6,31,5.17,0,0,0,,0,0,,0
93,2013,8,2013-11-04,29-337,GNB,,CHI,L 20-27,,1,2,50.00%,27,0,0,95.8,13.50,13.50,1,9,9.00,0,0,0,,0,0,,0
94,2013,16,2013-12-29,30-027,GNB,@,CHI,W 33-28,,25,39,64.10%,318,2,2,85.2,8.15,6.87,1,5,5.00,0,0,0,,0,0,,0
